Store,Address,Phone Number,Type,Latitude,Longitude
Rockhampton,152 George St Rockhampton City QLD 4700,07 4882 0788,ILS,-23.3816609,150.5057822
Auburn,6/191 Parramatta Road entry is via 134 Adderley St West,02 9721 3884,ILS,-33.8390932,151.0355126
Ascot Vale,198 Union Rd Ascot Vale VIC 3032,(03) 6164 0210,ILS,-37.7737624,144.9160716
Ballarat,206 Creswick Rd Ballarat Central VIC 3350,03 5333 4006,ILS,-37.5531947,143.8531845
Ballina,44 Bangalow Road Ballina NSW 2478,02 6686 7570,ILS,-28.8583856,153.5608313
Bankstown,242 Chapel Road Bankstown NSW 2200,02 9064 1587,ILS,-33.9214888,151.0309076
Batemans Bay,23a Vesper St Batemans Bay NSW 2536,02 4472 1044,ILS,-35.7114688,150.1744856
Bathurst,115 Bentinck Street Bathurst NSW 2795,02 6332 6453,ILS,-33.4208196,149.5801488
Bayswater,270 Canterbury Rd Bayswater VIC 3153,03 9726 2000,ILS,-37.830556,145.2722825
Bega,Rooftop Level Sapphire Marketplace 2/83 Upper Street Bega NSW 2550,02 6492 3888,ILS,-36.6768019,149.8414643
Benalla,14a Sydney Rd Benalla VIC 3672,03 5762 1125,ILS,-36.5484522,145.9990661
Box Hill,1109-1113 Whitehorse Road Box Hill VIC 3128,03 9044 3371,ILS,-37.81894,145.1345244
Bundaberg,Shops 2 & 3 – 19 Electra St Bundaberg QLD 4670,07 4426 8600,ILS,-24.8705414,152.3492871
Campbelltown,Shop 1C 1 Tindall Street Campbelltown NSW 2560,02 4625 3992,ILS,-34.0726822,150.8025872
Cairns,1/165 English Street Manunda QLD 4870,07 4032 5715,ILS,-16.9172,145.7469177
Capalaba,Shop C/1 Moreton Bay Road Capalaba QLD 4157,07 4593 5353,ILS,-27.5225702,153.2005914
Caringbah,332 Kingsway Caringbah NSW 2229,02 9064 1586,ILS,-34.0422237,151.1218613
Castle Hill,30/9 Hoyle Avenue Castle Hill NSW 2154,02 9659 9750,ILS,-33.7322925,150.9847288
Caulfield,652 Glen Huntly Rd Caulfield VIC 3162,1300 005 333,ILS,-37.886493,145.0171234
Coffs Harbour,26-27/75-83 Park Beach Road Coffs Harbour NSW 2450,02 9064 8648,ILS,-30.285548,153.1328587
Coorparoo,1/318 Old Cleveland Road Coorparoo QLD 4151,07 3046 2389,ILS,-27.4942173,153.059451
Dandenong,Shop 39B Langhorne Street Dandenong VIC 3175,03 9115 6777,ILS,-37.98860000000001,145.2165326
Dee Why,Shop 1 27-33 Oaks Avenue Dee Why NSW 2099,02 9066 9056,ILS,-33.7539509,151.2874544
Erina,15/26-32 Karalta Road Erina,02 4748 9740,ILS,-33.4385294,151.386298
Morphett Vale,2/279 Main South Rd Morphett Vale SA 5162,08 8276 1300,ILS,-35.1126137,138.5220589
Fyshwick,21 – 23 Townsville St Fyshwick ACT 2609,02 6280 7244,ILS,-35.32814460000001,149.1837565
Geelong,Shop 6 21-31 The Boulevard Norlane Victoria 3214,03 7031 6278,ILS,-38.0986594,144.3523074
Grafton,6/55 Prince Street Grafton NSW 2460,02 6642 8320,ILS,-29.6902684,152.9337979
Hoppers Crossing,11/428 Old Geelong Road Hoppers Crossing VIC 3029,03 9369 7656,ILS,-37.8700603,144.7318931
Hornsby,Shop 4 155 Peats Ferry Road Hornsby New South Wales 2077,02 9138 7212,ILS,-33.7035692,151.0971413
ILS Kids Adelaide,1/17 Diagonal Road Cavan SA 5094 Australia,08 7092 4555,ILS,-34.8317284,138.6012645
Ipswich,2/260 Brisbane Street West Ipswich QLD 4305,07 4426 8637,ILS,-27.6194768,152.7499279
Kogarah,Shop 1/2 Belgrave Street Kogarah NSW 2217,02 9588 1482,ILS,-33.9639474,151.1332663
Lane Cove,Unit 1/12 Mars Road Lane Cove NSW 2066,02 9936 1190,ILS,-33.8118151,151.1492994
Mackay,5/70 Connors Road Paget QLD 4740,1300 839 036,ILS,-21.1742172,149.1600494
Maroochydore,Shop 25b 100 Maroochydore Road Maroochydore QLD 4558,07 5370 8774,ILS,-26.6530002,153.0781673
Mornington,Unit 2 19 Bruce St Mornington VIC 3931,03 5923 0711,ILS,-38.233087,145.0593659
Mount Gambier,Shop T34 Mt Gambier Marketplace 182-248 Penola Rd Mount Gambier SA 5290,08 8723 1260,ILS,-37.80678930000001,140.7942022
Morayfield,Shop 1B 379 Morayfield Road Morayfield QLD 4506,07 4426 8767,ILS,-27.1205477,152.9569106
Penrith,Unit 3A Henry Lawson Centre 61-79 Henry Street Penrith NSW 2750,02 4748 9734,ILS,-33.75288889999999,150.7018106
Port Macquarie,Unit 1/20 Central Road Port Macquarie NSW 2444,02 6581 4230,ILS,-31.4463713,152.8930209
Prospect,Shop 1c/1 Rowood Road Prospect NSW 2148,02 9062 9666,ILS,-33.8012308,150.9269162
Edgecliff,130 New South Head Rd Edgecliff NSW 2027,02 9398 9263,ILS,-33.87817709999999,151.234872
Gold Coast,Shop 7A 76-84 Robina Town Centre Drive Robina QLD 4226,07 3519 6879,ILS,-28.0788937,153.3894561
Stepney,Unit 3 57 Magill Rd Stepney SA 5069,08 8362 6422,ILS,-34.9151347,138.6277929
Townsville,437-439 Woolcock Street Garbutt QLD 4814,07 4728 1200,ILS,-19.2672741,146.7589257
Toowoomba,18 Prescott Street Toowoomba QLD 4350,07 4639 3977,ILS,-27.5670051,151.947681
Virginia,2037 Sandgate Road Virginia QLD 4014,1300 881 968,ILS,-27.3695459,153.0628686
Wangaratta,18-24 Parfitt Rd Wangaratta VIC 3677,03 5721 5660,ILS,-36.352243,146.332912
Warrnambool,Unit 5B Building A 84 Raglan Parade Warrnambool VIC 3280,03 5562 6966,ILS,-38.3829477,142.5222688
Warners Bay,9 King Street Warners Bay NSW 2282,02 9064 1540,ILS,-32.968417,151.651354
Warwick Farm,Shops 26-27/1 Sappho Road Warwick Farm NSW 2170,02 9062 4240,ILS,-33.9085926,150.9390975
Windsor Gardens,Unit 1/502 North East Road Windsor Gardens SA 5087,08 8317 5070,ILS,-34.8595166,138.652869
Wodonga,Suite 2 38 High St Wodonga VIC 3690,02 6056 2366,ILS,-36.1148037,146.8922157
Wollongong,12 Kenny St Wollongong NSW 2500,02 9064 8782,ILS,-34.4269449,150.8915686
ILS Kids Gold Coast,4/15 Industrial Ave Molendinar QLD 4214,07 5597 4321,ILS,-27.97709,153.3757964
Fyshwick,58 Maryborough Street Fyshwick ACT 2609,02 6260 1003,Aidacare,-35.3255116,149.1754451
Tuggeranong,56 Athllon Drive Greenway ACT 2900,02 8529 8460,Aidacare,-35.4205493,149.0667541
Albury,355 Urana Road Lavington NSW 2641,02 6040 3444,Aidacare,-36.0485373,146.930534
Armidale,Shop 1/119 Rusden Street Armidale NSW 2350,02 5700 5724,Aidacare,-30.5149068,151.6678352
Artarmon,Unit 6/3 Lanceley Place Artarmon NSW 2064,02 9411 2180,Aidacare,-33.8181112,151.1870244
Balgowlah,Unit 2 14 Roseberry Street Balgowlah NSW 2093,02 9138 7570,Aidacare,-33.7887854,151.2678993
Ballina,18 Endeavour Close Ballina NSW 2478,02 6686 6644,Aidacare,-28.8531204,153.558839
Bankstown,Home Focus Centre Unit 11 173-185 Canterbury Road Bankstown NSW 2200,02 8529 8430,Aidacare,-33.933643,151.0290524
Blacktown,1/34 Campbell Street Blacktown NSW 2148,02 9621 4077,Aidacare,-33.7720076,150.9096912
Broadmeadow,126 Belford Street Broadmeadow NSW 2292,02 9138 7500,Aidacare,-32.9242195,151.7369916
Campbelltown,Homebase Unit 9 24 Blaxland Road Campbelltown NSW 2560,02 8529 8470,Aidacare,-34.0588381,150.816884
Cardiff,365 Main Rd Cardiff NSW 2285,02 4956 9993,Aidacare,-32.9378754,151.6575948
Charmhaven,1/27-31 Arizona Road Charmhaven NSW 2263,02 8529 8490,Aidacare,-33.2403515,151.4932291
Coffs Harbour,2/177 Orlando Street Coffs Harbour NSW 2450,02 6651 5333,Aidacare,-30.2872061,153.1291904
Dubbo,Unit 3 33-35 Cobbora Road Dubbo NSW 2830,02 5858 4599,Aidacare,-32.2439488,148.6174342
Erina,10 Aston Road Erina NSW 2250,02 4367 5751,Aidacare,-33.4337731,151.3839592
Fairy Meadow,132-136 Princes Highway Fairy Meadow NSW 2519,02 4273 3199,Aidacare,-34.3954484,150.8931272
Kensington,168-170 Anzac Parade Kensington NSW 2033,02 8529 8480,Aidacare,-33.9095693,151.2236772
Kogarah,45-47 President Ave Kogarah NSW 2217,02 8614 8200,Aidacare,-33.9652627,151.1420102
Maitland,10/555 High Street Maitland NSW 2320,02 4933 9999,Aidacare,-32.7280381,151.5505595
Moorebank,Building 3A 1 Moorebank Avenue Moorebank NSW 2170,02 8706 2300,Aidacare,-33.9305391,150.929698
Orange,Suite 1 21-29 William Street Orange NSW 2800,02 6361 4200,Aidacare,-33.2830866,149.1055352
Orange DC/Office,Unit 3/4 Barrett Court Orange NSW 2800,0437 134 295,Aidacare,-33.2904822,149.0811276
Penrith,6 Pattys Place Jamisontown NSW 2750,02 9138 7550,Aidacare,-33.7686351,150.6732865
Port Macquarie,1/171 Lake Rd Port Macquarie NSW 2444,02 6581 0018,Aidacare,-31.447567,152.8949598
Port Macquarie – CMS,1/22 Janola Circuit Port Macquarie NSW 2444,02 9138 7580,Aidacare,-31.451712,152.882163
Royal North Shore,Royal North Shore Hospital ASB Shop H3.08 Reserve Rd St Leonards NSW 2065,02 8529 8410,Aidacare,-33.8215624,151.1914566
Seven Hills,1/197 Prospect Highway Seven Hills NSW 2147,02 8706 2330,Aidacare,-33.7721776,150.9382134
Shellharbour (Mack N ME),25 Shaban Street Albion Park Rail NSW 2527,02 4257 1976,Aidacare,-34.5745322,150.8147073
Sylvania,117 - 119 Princess Highway Sylvania NSW 2224,02 9520 1866,Aidacare,-34.0075019,151.1060422
Tamworth,Shop 3A 31-41 The Ringers Rd Tamworth NSW 2340,02 6761 2018,Aidacare,-31.1284085,150.9201438
Taree,191 Victoria Street Taree NSW 2430,02 8529 8420,Aidacare,-31.9136527,152.4600682
Tuncurry,Shop 7 1 Manning Street Tuncurry NSW 2428,02 6555 2322,Aidacare,-32.1765779,152.5005029
Turramurra,1323 Pacific Hwy Turramurra NSW 2074,02 9983 9100,Aidacare,-33.7330919,151.1273456
Tweed Heads,16-32 Wharf Street Tweed Heads NSW 2485,07 5620 2230,Aidacare,-28.1721206,153.5444795
Wagga,1/17 Lake Albert Road Wagga Wagga NSW 2650,02 6921 1000,Aidacare,-35.1233177,147.3780212
Wollongong,98 Auburn Street Wollongong NSW 2500,02 4273 0184,Aidacare,-34.4341398,150.8877198
Woy Woy,40 Blackwall Road Woy Woy NSW 2256,02 4314 2219,Aidacare,-33.4857056,151.3249479
Annerley,683 Ipswich Road Annerley QLD 4103,(07) 5620 2260,Aidacare,-27.5184775,153.0284666
Brisbane - Coopers Plains,1032 Beaudesert Road Coopers Plains QLD 4108,07 3086 2900,Aidacare,-27.5710189,153.0252437
Brisbane - Geebung,354 Bilsen Road Geebung QLD 4034,07 3086 2950,Aidacare,-27.3753714,153.0545915
Caboolture,Shop11 110 Morayfield Road Caboolture South QLD 4506,07 5330 1029,Aidacare,-27.0978159,152.948359
Cairns,136 Anderson Street Manunda QLD 4870,07 4035 5944,Aidacare,-16.9163178,145.7434472
Capalaba,11 Merritt Street Capalaba QLD 4157,07 3481 5370,Aidacare,-27.5309266,153.1994444
Currimundi,2/790 Nicklin Way Currimundi QLD 4551,07 5620 2250,Aidacare,-26.7758627,153.1247528
Darra,14 / 31 Acanthus Street Darra QLD 4076,07 5620 2270,Aidacare,-27.5742655,152.960053
Gold Coast - Burleigh Heads,4 Kortum Drive Burleigh Heads QLD 4220,07 5641 6029,Aidacare,-28.10263,153.4415595
Gold Coast - Southport,Units 1 & 2 48 Olympic Circuit Southport QLD 4215,07 5532 6070,Aidacare,-27.9699526,153.3926016
Hervey Bay,Shop 3 19 Islander Road Pialba QLD 4655,07 4194 5019,Aidacare,-25.2846218,152.8220606
Innisfail,102 Edith St Innisfail QLD 4860,07 4061 1949,Aidacare,-17.5247261,146.0278506
Ipswich,292 Brisbane Street West Ipswich QLD 4305,07 3517 5290,Aidacare,-27.622151,152.7486471
Kedron,255 Gympie Road Kedron QLD 4031,07 5620 2280,Aidacare,-27.408028,153.0328199
Lawnton,Unit 2 / 640 Gympie Road Lawnton QLD 4501,07 3481 5300,Aidacare,-27.29356,152.985275
Mackay,Shop 2 10 Trade Court Mount Pleasant QLD 4740,07 3481 5399,Aidacare,-21.1297236,149.1600212
Nambour,45 Price Street Nambour QLD 4560,07 5620 2220,Aidacare,-26.6255731,152.9571405
Ningi/Bribie Island,Shop 18 Ningi Plaza 1 Regina Ave Ningi QLD 4511,07 3081 1998,Aidacare,-27.0633148,153.0897777
Redcliffe,1/107 Anzac Avenue Redcliffe QLD 4020,07 3284 2811,Aidacare,-27.2298328,153.1049459
Sunshine Coast - Noosaville,Shop 6/18 Thomas Street Noosaville QLD 4566,07 5353 6140,Aidacare,-26.4005845,153.0627165
Sunshine Coast - Warana,Shop 1 19 Premier Circuit Warana QLD 4575,07 3086 2980,Aidacare,-26.7259844,153.1182583
Toowoomba,332 James Street Toowoomba QLD 4350,07 3086 2990,Aidacare,-27.566611,151.929575
Townsville,103-105 Ingham Road West End QLD 4810,07 4427 6827,Aidacare,-19.26756,146.797287
Underwood,88 Parramatta Road Underwood QLD 4119,07 3209 4960,Aidacare,-27.6200236,153.118323
Adelaide - Ascot Park,4 Daws Road Ascot Park SA 5043,08 8293 5444,Aidacare,-34.9931488,138.5606131
Adelaide - Regency Park,21 - 23 Tikalara St Regency Park SA 5010,08 8118 5600,Aidacare,-34.8688044,138.5724937
Gawler,Unit 1/23 High Street Gawler SA 5118,08 8118 5690,Aidacare,-34.5999382,138.7505218
Modbury,32 Smart Road Modbury SA 5092,08 8118 5650,Aidacare,-34.8332464,138.6868971
Morphett Vale,190 Main South Road Morphett Vale SA 5165,08 8186 3977,Aidacare,-35.1204707,138.5240413
Mount Barker,Shop 1C/6 Dutton Road Mount Barker SA 5251,08 8118 5640,Aidacare,-35.06746220000001,138.864738
Mount Gambier,19 Sturt Street Mount Gambier SA 5290,08 7093 6110,Aidacare,-37.8322366,140.7856762
Victor Harbor,Shop 2/66 Victoria Street Victor Harbor SA 5211,08 7093 6100,Aidacare,-35.557548,138.6171406
Derwent Park,253 Main Road Derwent Park TAS 7009,03 6170 0330,Aidacare,-42.8369767,147.2881886
Hobart,273c Kennedy Drive Cambridge TAS 7170,03 6229 4733,Aidacare,-42.8313601,147.4869062
Launceston,89-95 Invermay Road Invermay TAS 7248,03 6344 8922,Aidacare,-41.4262731,147.1364494
Ballarat,39-43 Mair Street East Ballarat Central VIC 3350,03 7051 0730,Aidacare,-37.5601832,143.8634895
Bendigo,51 Bridge Street Bendigo VIC 3550,03 5441 8213,Aidacare,-36.7522712,144.2836165
Cheltenham,313 Warrigal Rd Cheltenham VIC 3192,03 9584 1644,Aidacare,-37.9598984,145.0751016
Epping,710 High Street Epping VIC 3076,03 9981 2220,Aidacare,-37.6511774,145.0244123
Frankston,90-92 Dandenong Road West Frankston VIC 3199,03 9981 2270,Aidacare,-38.1346936,145.1292011
Geelong - Complex Rehab Centre,77 Barwon Terrace South Geelong VIC 3220,03 5223 2263,Aidacare,-38.1681895,144.3647659
Geelong - Showroom,38-42 Mercer Street Geelong VIC 3220,03 5223 2263,Aidacare,-38.1414446,144.3552131
Horsham,18-22 Wilson Street Horsham VIC 3400,1800 819 992,Aidacare,-36.7162717,142.2025763
Melbourne - Clifton Hill,271 Queens Pde Clifton Hill VIC 3068,03 9981 2101,Aidacare,-37.785912,144.995037
Melbourne DC/Office,49 Temple Drive Thomastown VIC 3074,03 9981 2100,Aidacare,-37.6919685,145.0139764
Mildura,18 Eighth Street Mildura VIC 3500,03 5022 0755,Aidacare,-34.1927062,142.1722773
Sale,70-72 Princes Highway Sale VIC 3850,1300 723 830,Aidacare,-38.087406,147.0709334
Traralgon,97-99 Princes St Traralgon VIC 3844,1300 723 830,Aidacare,-38.1991975,146.5353509
Werribee,Shop 1/1 Princes Highway Werribee VIC 3030,03 9981 2280,Aidacare,-37.8999525,144.6661922
Wonthaggi,62-64 McBride Ave Wonthaggi VIC 3995,03 7051 0720,Aidacare,-38.6068208,145.5909941
Bunbury,26 Strickland Street Bunbury WA 6230,08 9717 6622,Aidacare,-33.3359506,115.644101
Busselton,1/64 West Street Busselton WA 6280,08 9751 1446,Aidacare,-33.652369,115.341352
Landsdale DC/Office,1 Welsh Place Landsdale WA 6065,08 9302 4757,Aidacare,-31.8031279,115.8462191
Mandurah,Unit 14 8 Magenta Terrace Mandurah WA 6210,08 6555 4255,Aidacare,-32.5091059,115.7400915
Perth - Belmont,12/225 Great Eastern Highway Belmont WA 6104,(08) 6555 4290,Aidacare,-31.9435667,115.9250879
Perth - Bibra Lake,5 Sobek Pass Bibra Lake WA 6163,08 6555 4222,Aidacare,-32.0956303,115.8138801
Perth - Malaga,5/27 Kent Way Malaga WA,,Aidacare,-31.8522343,115.8797168
Perth - Malaga - CMS,58 Bonner Drive Malaga WA 6090,08 6333 8540,Aidacare,-31.8488348,115.8794222
